Estacion	Fecha	Año	Mes	T Maxima	T Media	T Minima	Precipitacion	Latitud	Longitud
Jocolí	nov-06	2006	11	37,1	21,8	6,1		-32,59527222	-68,59766111
Jocolí	dic-06	2006	12	40,2	25,4	10,5		-32,59527222	-68,59766111
Jocolí	ene-07	2007	1	37,1	25,3	13,9		-32,59527222	-68,59766111
Jocolí	feb-07	2007	2	39,5	23,8	7,8		-32,59527222	-68,59766111
Jocolí	mar-07	2007	3	35,3	20,9	2,2		-32,59527222	-68,59766111
Jocolí	abr-07	2007	4	30,6	16,1	2,4		-32,59527222	-68,59766111
Jocolí	may-07	2007	5	22,4	9,8	-4,9		-32,59527222	-68,59766111
Jocolí	jun-07	2007	6	23,1	6,2	-5,9		-32,59527222	-68,59766111
Jocolí	jul-07	2007	7	27,2	5,7	-9,6		-32,59527222	-68,59766111
Jocolí	ago-07	2007	8	23,9	6,2	-7,7		-32,59527222	-68,59766111
Jocolí	sep-07	2007	9	33,9	14,7	-1,8		-32,59527222	-68,59766111
Jocolí	oct-07	2007	10	35,7	19,4	4		-32,59527222	-68,59766111
Jocolí	nov-07	2007	11	37,5	21,4	4,4		-32,59527222	-68,59766111
Jocolí	dic-07	2007	12	40,6	24,2	8,6		-32,59527222	-68,59766111
Jocolí	ene-08	2008	1	39,4	24,9	12,7		-32,59527222	-68,59766111
Jocolí	feb-08	2008	2	36,8	23,6	12,1		-32,59527222	-68,59766111
Jocolí	mar-08	2008	3	32,7	21,3	10,2		-32,59527222	-68,59766111
Jocolí	abr-08	2008	4	31,5	16,4	-3,2		-32,59527222	-68,59766111
Jocolí	may-08	2008	5	28,5	11,4	-3,9		-32,59527222	-68,59766111
Jocolí	jun-08	2008	6	22,6	6,2	-5		-32,59527222	-68,59766111
Jocolí	jul-08	2008	7	25,3	8,7	-3,4		-32,59527222	-68,59766111
Jocolí	ago-08	2008	8	33,2	10,1	-2,7		-32,59527222	-68,59766111
Jocolí	sep-08	2008	9	33,9	14,1	-3,5		-32,59527222	-68,59766111
Jocolí	oct-08	2008	10	33,2	19,7	6,3		-32,59527222	-68,59766111
Jocolí	nov-08	2008	11	38,6	23,5	7	38,2	-32,59527222	-68,59766111
Jocolí	dic-08	2008	12	39	24,6	11,5	19	-32,59527222	-68,59766111
Jocolí	ene-09	2009	1	40,4	24,6	12,2	27,4	-32,59527222	-68,59766111
Jocolí	feb-09	2009	2	39,3	24,7	8,9	2	-32,59527222	-68,59766111
Jocolí	mar-09	2009	3	37,5	23	10,3	67,6	-32,59527222	-68,59766111
Jocolí	abr-09	2009	4	33,4	19,2	5,1	0	-32,59527222	-68,59766111
Jocolí	may-09	2009	5	29,9	12,3	-1,5	2,6	-32,59527222	-68,59766111
Jocolí	jun-09	2009	6	29,8	8	-4,8	6,2	-32,59527222	-68,59766111
Jocolí	jul-09	2009	7	25,2	6,4	-7,2	1,6	-32,59527222	-68,59766111
Jocolí	ago-09	2009	8	20	7,5	-2,4	0	-32,59527222	-68,59766111
Jocolí	sep-09	2009	9	27,6	12,7	-1,3	2	-32,59527222	-68,59766111
Jocolí	oct-09	2009	10	41,5	18,9	1,1	1	-32,59527222	-68,59766111
Jocolí	nov-09	2009	11	39,5	22,2	4	0,4	-32,59527222	-68,59766111
Jocolí	dic-09	2009	12	38,3	24	10,5	13	-32,59527222	-68,59766111
Jocolí	ene-10	2010	1	42,9	26,5	11	23,2	-32,59527222	-68,59766111
Jocolí	feb-10	2010	2	38,6	24,5	13,2	0	-32,59527222	-68,59766111
Jocolí	mar-10	2010	3	36,9	23,4	10,2	17,4	-32,59527222	-68,59766111
Jocolí	abr-10	2010	4	28,1	15,3	1,8	0	-32,59527222	-68,59766111
Jocolí	may-10	2010	5	27,5	10,8	-1,4	12,4	-32,59527222	-68,59766111
Jocolí	jun-10	2010	6	31,4	7,8	-4,8	1,6	-32,59527222	-68,59766111
Jocolí	jul-10	2010	7	25,5	5,3	-8,5	2,4	-32,59527222	-68,59766111
Jocolí	ago-10	2010	8	34,7	8,9	-6,1	1	-32,59527222	-68,59766111
Jocolí	sep-10	2010	9	28,2	14	-2,3	5	-32,59527222	-68,59766111
Jocolí	oct-10	2010	10	32,4	17,7	0,2	15	-32,59527222	-68,59766111
Jocolí	nov-10	2010	11	38,2	21,5	0,4	2,8	-32,59527222	-68,59766111
Jocolí	dic-10	2010	12	38,5	24,3	4,4	11	-32,59527222	-68,59766111
Jocolí	ene-11	2011	1	38,4	24,5	11,1	59,8	-32,59527222	-68,59766111
Jocolí	feb-11	2011	2	37,3	22,8	11,9	62	-32,59527222	-68,59766111
Jocolí	mar-11	2011	3	33,8	20,4	4,7	38	-32,59527222	-68,59766111
Jocolí	abr-11	2011	4	35,3	16,7	1,8	1	-32,59527222	-68,59766111
Jocolí	may-11	2011	5	25,5	11	-2,3	0,2	-32,59527222	-68,59766111
Jocolí	jun-11	2011	6	21,2	6,6	-8,6	0,2	-32,59527222	-68,59766111
Jocolí	jul-11	2011	7	28,3	6	-8	1,2	-32,59527222	-68,59766111
Jocolí	ago-11	2011	8	25,6	8,8	-6	0,6	-32,59527222	-68,59766111
Jocolí	sep-11	2011	9	35	14,9	-2,8	0,2	-32,59527222	-68,59766111
Jocolí	oct-11	2011	10	34,2	17,9	0,2	47	-32,59527222	-68,59766111
Jocolí	nov-11	2011	11	37,2	22,1	6,1	34	-32,59527222	-68,59766111
Jocolí	dic-11	2011	12	37,2	24,1	9,9	11	-32,59527222	-68,59766111
Jocolí	ene-12	2012	1	40,5	26,4	14,5	69	-32,59527222	-68,59766111
Jocolí	feb-12	2012	2	37	24,5	12	26,6	-32,59527222	-68,59766111
Jocolí	mar-12	2012	3	37,6	22,4	4,3	23	-32,59527222	-68,59766111
Jocolí	abr-12	2012	4	71	16,3	-2,1	4,4	-32,59527222	-68,59766111
Jocolí	may-12	2012	5	25,8	12,2	-2,4	0,2	-32,59527222	-68,59766111
Jocolí	jun-12	2012	6	29,4	6,9	-7	0	-32,59527222	-68,59766111
Jocolí	jul-12	2012	7	21,8	6,1	-8,3	0,4	-32,59527222	-68,59766111
Jocolí	ago-12	2012	8	25,5	10	-4,6	0	-32,59527222	-68,59766111
Jocolí	sep-12	2012	9	30,4	15,1	-1,1	13	-32,59527222	-68,59766111
Jocolí	oct-12	2012	10	32,1	17,9	4,8	2	-32,59527222	-68,59766111
Jocolí	nov-12	2012	11	41,6	22,2	0	0,4	-32,59527222	-68,59766111
Jocolí	dic-12	2012	12	43,9	25,2	9,4	0,4	-32,59527222	-68,59766111
Jocolí	ene-13	2013	1	38,8	25,7	11,2	44	-32,59527222	-68,59766111
Jocolí	feb-13	2013	2	38,7	24,8	9,5	4,2	-32,59527222	-68,59766111
Jocolí	mar-13	2013	3	34,2	20,1	7,8	10,6	-32,59527222	-68,59766111
Jocolí	abr-13	2013	4	31,2	16,9	2,4	2,6	-32,59527222	-68,59766111
Jocolí	may-13	2013	5	27,2	12,2	-2,9	1,4	-32,59527222	-68,59766111
Jocolí	jun-13	2013	6	24,5	8,7	-8	3,2	-32,59527222	-68,59766111
Jocolí	jul-13	2013	7	24,1	6,5	-8,2	0	-32,59527222	-68,59766111
Jocolí	ago-13	2013	8	29	8,8	-5,8	2,4	-32,59527222	-68,59766111
Jocolí	sep-13	2013	9	38,2	12	-6,3	2	-32,59527222	-68,59766111
Jocolí	oct-13	2013	10	36,6	19,5	1,6	0,2	-32,59527222	-68,59766111
Jocolí	nov-13	2013	11	40,1	22,5	1,4	13,6	-32,59527222	-68,59766111
Jocolí	dic-13	2013	12	38,9	26,7	11,2	32,4	-32,59527222	-68,59766111
Jocolí	ene-14	2014	1	41,5	26,4	8,1	29,6	-32,59527222	-68,59766111
Jocolí	feb-14	2014	2	36	21,9	8,5	112,2	-32,59527222	-68,59766111
Jocolí	mar-14	2014	3	31,4	19,1	4,1	27,4	-32,59527222	-68,59766111
Jocolí	abr-14	2014	4	26,4	17,2	3	3,8	-32,59527222	-68,59766111
Jocolí	may-14	2014	5	25,8	11	-2,4	4,4	-32,59527222	-68,59766111
Jocolí	jun-14	2014	6	23,1	7,3	-5,6	0,2	-32,59527222	-68,59766111
Jocolí	jul-14	2014	7	23,8	6,9	-12,7	1	-32,59527222	-68,59766111
Jocolí	ago-14	2014	8	33,3	11,6	-4,5	3,2	-32,59527222	-68,59766111
Jocolí	sep-14	2014	9	30,2	15,1	0,3	2,6	-32,59527222	-68,59766111
Jocolí	oct-14	2014	10	38	21	3,3	1,2	-32,59527222	-68,59766111
Jocolí	nov-14	2014	11	37,4	21,3	3,5	0,4	-32,59527222	-68,59766111
Jocolí	dic-14	2014	12	39,4	23,8	2,8	7	-32,59527222	-68,59766111
Jocolí	ene-15	2015	1	39,3	26,4	9,3	0,4	-32,59527222	-68,59766111
